Date,close
2021-07-30,30480.05078125
2021-08-02,30803.05078125
2021-08-03,31165.849609375
2021-08-04,30977.150390625
2021-08-05,31211.19921875
2021-08-06,31303.30078125
2021-08-09,31441.0
2021-08-10,31713.400390625
2021-08-11,31670.0
2021-08-12,32245.099609375
2021-08-13,32678.80078125
2021-08-16,32577.94921875
2021-08-17,33414.75
2021-08-18,33448.8984375
2021-08-20,33351.3515625
2021-08-23,33919.80078125
2021-08-24,33838.3984375
2021-08-25,34083.94921875
2021-08-26,34041.1015625
2021-08-27,34309.80078125
2021-08-30,34109.25
2021-08-31,34570.25
2021-09-01,34110.5
2021-09-02,34680.30078125
2021-09-03,34891.19921875
2021-09-06,35415.1015625
2021-09-07,34951.30078125
2021-09-08,34678.19921875
2021-09-09,34802.30078125
2021-09-13,35129.6015625
2021-09-14,35431.5
2021-09-15,36075.19921875
2021-09-16,35852.44921875
2021-09-17,35646.5
2021-09-20,35400.05078125
2021-09-21,36086.05078125
2021-09-22,36422.44921875
2021-09-23,36816.8984375
2021-09-24,37103.25
2021-09-27,36034.3984375
2021-09-28,35239.94921875
2021-09-29,35282.6484375
2021-09-30,35028.0
2021-10-01,34780.6015625
2021-10-04,35126.1484375
2021-10-05,35544.30078125
2021-10-06,35075.80078125
2021-10-07,35703.8515625
2021-10-08,36402.0
2021-10-11,35179.94921875
2021-10-12,34869.75
2021-10-13,35285.6015625
2021-10-14,35744.8515625
2021-10-18,36306.3515625
2021-10-19,37106.3515625
2021-10-20,36846.80078125
2021-10-21,35913.6015625
2021-10-22,35394.6484375
2021-10-25,35005.3984375
2021-10-26,35162.3515625
2021-10-27,35503.8984375
2021-10-28,34913.6015625
2021-10-29,34408.75
2021-11-01,35290.0
2021-11-02,35177.3515625
2021-11-03,35177.1015625
2021-11-04,35334.25
2021-11-08,35782.3515625
2021-11-09,35815.1015625
2021-11-10,35722.94921875
2021-11-11,35583.6484375
2021-11-12,36332.30078125
2021-11-15,36465.30078125
2021-11-16,36643.8984375
2021-11-17,36660.8984375
2021-11-18,36007.0
2021-11-22,35478.94921875
2021-11-23,35504.3984375
2021-11-24,34966.25
2021-11-25,35300.25
2021-11-26,34606.1484375
2021-11-29,34870.75
2021-11-30,35043.75
2021-12-01,35429.0
2021-12-02,36157.8515625
2021-12-03,35848.05078125
2021-12-06,34879.3984375
2021-12-07,35272.30078125
2021-12-08,35959.05078125
2021-12-09,35946.3515625
2021-12-10,35939.6015625
2021-12-13,36050.55078125
2021-12-14,36102.55078125
2021-12-15,35737.19921875
2021-12-16,36160.30078125
2021-12-17,36647.8984375
2021-12-20,35916.44921875
2021-12-21,36627.1484375
2021-12-22,36989.1484375
2021-12-23,37362.8515625
2021-12-24,37727.80078125
2021-12-27,37988.5
2021-12-28,38357.80078125
2021-12-29,38274.6484375
2021-12-30,38658.80078125
2021-12-31,38701.05078125
2022-01-03,39123.80078125
2022-01-04,39370.69921875
2022-01-05,38609.1484375
2022-01-06,38009.0
2022-01-07,38139.8515625
2022-01-10,38212.19921875
2022-01-11,38605.44921875
2022-01-12,38604.75
2022-01-13,38607.0
2022-01-14,38826.8515625
2022-01-17,38804.94921875
2022-01-18,38091.75
2022-01-19,37281.69921875
2022-01-20,36662.19921875
2022-01-21,36054.6015625
2022-01-24,34821.6015625
2022-01-25,34707.44921875
2022-01-27,33475.05078125
2022-01-28,33851.94921875
2022-01-31,34824.55078125
2022-02-01,35371.6484375
2022-02-02,35788.75
2022-02-03,35056.80078125
2022-02-04,35080.1015625
2022-02-07,34621.25
2022-02-08,34521.55078125
2022-02-09,34983.30078125
2022-02-10,35341.8515625
2022-02-11,34379.05078125
2022-02-14,33880.6484375
2022-02-15,34913.30078125
2022-02-16,34801.94921875
2022-02-17,34634.1015625
2022-02-18,34483.1015625
2022-02-21,34472.05078125
2022-02-22,34129.55078125
2022-02-23,34114.30078125
2022-02-24,32547.900390625
2022-02-25,33476.94921875
2022-02-28,33847.8515625
2022-03-02,33720.0
2022-03-03,34130.30078125
2022-03-04,34177.69921875
2022-03-07,34135.8984375
2022-03-08,35055.55078125
2022-03-09,35440.55078125
2022-03-10,35399.1015625
2022-03-11,35348.69921875
2022-03-14,36028.0
2022-03-15,35097.8515625
2022-03-16,35729.6484375
2022-03-17,35643.6015625
2022-03-21,35377.75
2022-03-22,36070.44921875
2022-03-23,36082.0
2022-03-24,36516.75
2022-03-25,36152.30078125
2022-03-28,36026.05078125
2022-03-29,36146.75
2022-03-30,36463.55078125
