Date,close
2021-07-30,34583.94921875
2021-08-02,34709.59765625
2021-08-03,35207.0390625
2021-08-04,36027.6328125
2021-08-05,35834.33203125
2021-08-06,35808.83203125
2021-08-09,36028.53125
2021-08-10,36033.68359375
2021-08-11,35805.98046875
2021-08-12,35936.6328125
2021-08-13,36168.9296875
2021-08-16,36094.08203125
2021-08-17,35867.03125
2021-08-18,35554.0859375
2021-08-20,35033.4453125
2021-08-23,35123.98828125
2021-08-24,35711.6875
2021-08-25,35585.8359375
2021-08-26,35617.13671875
2021-08-27,35627.38671875
2021-08-30,36347.2265625
2021-08-31,36424.1796875
2021-09-01,36573.875
2021-09-02,36830.87109375
2021-09-03,36760.72265625
2021-09-06,36591.92578125
2021-09-07,36468.375
2021-09-08,36767.7734375
2021-09-09,36682.7734375
2021-09-13,36471.375
2021-09-14,36612.625
2021-09-15,36851.8203125
2021-09-16,37668.1640625
2021-09-17,37811.5078125
2021-09-20,37145.265625
2021-09-21,37235.41796875
2021-09-22,36944.21875
2021-09-23,37771.26171875
2021-09-24,37829.859375
2021-09-27,38170.8046875
2021-09-28,37944.55859375
2021-09-29,37742.5625
2021-09-30,37424.66796875
2021-10-01,37225.46484375
2021-10-04,37579.2109375
2021-10-05,37740.5625
2021-10-06,37521.11328125
2021-10-07,37752.76171875
2021-10-08,37774.8125
2021-10-11,38293.35546875
2021-10-12,38521.05078125
2021-10-13,38635.30078125
2021-10-14,39340.44140625
2021-10-18,39684.33984375
2021-10-19,39540.0390625
2021-10-20,39517.73828125
2021-10-21,40029.734375
2021-10-22,40323.1796875
2021-10-25,41191.91796875
2021-10-26,41237.8203125
2021-10-27,40873.875
2021-10-28,39508.48828125
2021-10-29,39115.1484375
2021-11-01,39763.2890625
2021-11-02,39937.984375
2021-11-03,39401.59375
2021-11-04,39573.23828125
2021-11-08,39437.79296875
2021-11-09,39368.34375
2021-11-10,39022.796875
2021-11-11,38559.75
2021-11-12,38732.90234375
2021-11-15,38701.90234375
2021-11-16,38306.65625
2021-11-17,38041.109375
2021-11-18,37975.80859375
2021-11-22,37128.37109375
2021-11-23,37272.3671875
2021-11-24,37441.515625
2021-11-25,37364.31640625
2021-11-26,36025.08203125
2021-11-29,35976.03125
2021-11-30,35694.88671875
2021-12-01,36364.4765625
2021-12-02,36507.82421875
2021-12-03,36196.7265625
2021-12-06,35735.484375
2021-12-07,36617.97265625
2021-12-08,37284.265625
2021-12-09,37082.01953125
2021-12-10,37105.21875
2021-12-13,36924.8203125
2021-12-14,36893.51953125
2021-12-15,36789.125
2021-12-16,36548.22265625
2021-12-17,35618.234375
2021-12-20,34439.453125
2021-12-21,34607.44921875
2021-12-22,35029.09375
2021-12-23,35190.73828125
2021-12-24,34856.64453125
2021-12-27,35057.4921875
2021-12-28,35183.390625
2021-12-29,35044.9921875
2021-12-30,35063.1953125
2021-12-31,35481.28515625
2022-01-03,36421.4765625
2022-01-04,36839.71875
2022-01-05,37695.4609375
2022-01-06,37489.8125
2022-01-07,37739.1640625
2022-01-10,38347.453125
2022-01-11,38441.75390625
2022-01-12,38727.1015625
2022-01-13,38469.50390625
2022-01-14,38369.953125
2022-01-17,38215.703125
2022-01-18,38209.85546875
2022-01-19,38040.91015625
2022-01-20,37850.41015625
2022-01-21,37573.86328125
2022-01-24,36947.12109375
2022-01-25,37706.3125
2022-01-27,37981.66015625
2022-01-28,37688.9609375
2022-01-31,37974.91015625
2022-02-01,38505.05078125
2022-02-02,39330.04296875
2022-02-03,39009.546875
2022-02-04,38788.90234375
2022-02-07,37995.0078125
2022-02-08,38028.0078125
2022-02-09,38609.80078125
2022-02-10,39010.49609375
2022-02-11,38516.80078125
2022-02-14,36908.12109375
2022-02-15,38169.65625
2022-02-16,37953.359375
2022-02-17,37531.2109375
2022-02-18,37598.7109375
2022-02-21,37685.1640625
2022-02-22,37371.21484375
2022-02-23,37391.6171875
2022-02-24,35227.69140625
2022-02-25,36430.328125
2022-02-28,36204.87890625
2022-03-02,35372.390625
2022-03-03,34943.89453125
2022-03-04,34407.40234375
2022-03-07,32870.8671875
2022-03-08,33157.71484375
2022-03-09,33815.0546875
2022-03-10,34475.19921875
2022-03-11,34545.84765625
2022-03-14,35311.73828125
2022-03-15,35022.2421875
2022-03-16,35747.8359375
2022-03-17,36428.12890625
2022-03-21,36018.08203125
2022-03-22,36348.12890625
2022-03-23,36146.9296875
2022-03-24,35526.6875
2022-03-25,35409.69140625
2022-03-28,35710.0859375
2022-03-29,35846.98046875
2022-03-30,36333.87890625
2022-03-31,36373.1796875
2022-04-01,37148.06640625
2022-04-04,38634.75
2022-04-05,38067.45703125
2022-04-06,37632.36328125
2022-04-07,37556.9140625
2022-04-08,37751.61328125
2022-04-11,37613.36328125
2022-04-12,37746.9609375
2022-04-13,37462.96484375
2022-04-18,36728.57421875
2022-04-19,36341.1796875
2022-04-20,36314.4765625
2022-04-21,36815.671875
2022-04-22,36044.33203125
2022-04-25,36081.93359375
2022-04-26,36404.37890625
2022-04-27,36028.43359375
2022-04-28,36421.77734375
2022-04-29,36087.73046875
2022-05-02,36163.328125
2022-05-04,35264.140625
2022-05-05,35232.44140625
2022-05-06,34590.796875
2022-05-09,34275.0
2022-05-10,34482.24609375
2022-05-11,34692.74609375
2022-05-12,33531.7578125
2022-05-13,33120.96484375
2022-05-16,33597.2109375
2022-05-17,34301.5
2022-05-18,34163.30078125
2022-05-19,33315.26171875
2022-05-20,34276.0
2022-05-23,34247.203125
2022-05-24,34289.75
2022-05-25,34339.1015625
2022-05-26,35094.4921875
2022-05-27,35612.88671875
2022-05-30,35826.53125
2022-05-31,35486.984375
2022-06-01,35620.38671875
2022-06-02,35613.234375
2022-06-03,35274.640625
2022-06-06,35309.7890625
2022-06-07,34995.59375
2022-06-08,34945.7421875
2022-06-09,35085.04296875
2022-06-10,34483.3984375
2022-06-13,33405.46484375
2022-06-14,33310.96484375
2022-06-15,33338.61328125
2022-06-16,32616.720703125
2022-06-17,32742.669921875
2022-06-20,32684.419921875
2022-06-21,33191.36328125
2022-06-22,32844.91796875
2022-06-23,33134.61328125
2022-06-24,33627.05859375
2022-06-27,33810.85546875
2022-06-28,33642.05859375
2022-06-29,33269.51171875
2022-06-30,33424.71484375
2022-07-01,33539.05859375
2022-07-04,33940.50390625
2022-07-05,33815.50390625
2022-07-06,34323.8515625
2022-07-07,34919.89453125
2022-07-08,35123.640625
2022-07-11,35469.234375
2022-07-12,35131.83984375
2022-07-13,34827.39453125
2022-07-14,34650.796875
2022-07-15,34682.24609375
2022-07-18,35358.2890625
2022-07-19,35719.9375
2022-07-20,35971.68359375
2022-07-21,36200.578125
2022-07-22,36738.5234375
2022-07-25,36725.97265625
2022-07-26,36408.078125
2022-07-27,36783.32421875
2022-07-28,37377.71484375
2022-07-29,37490.9609375
2022-08-01,37902.7578125
2022-08-02,38023.55859375
2022-08-03,37988.80859375
2022-08-04,37755.11328125
2022-08-05,37920.16015625
2022-08-08,38236.953125
2022-08-10,38287.40625
2022-08-11,38879.3984375
2022-08-12,39041.84765625
2022-08-16,39239.19140625
2022-08-17,39461.2421875
2022-08-18,39655.6875
2022-08-19,38985.49609375
2022-08-22,38297.3046875
2022-08-23,38697.19921875
2022-08-24,39038.046875
2022-08-25,38950.296875
2022-08-26,38986.6953125
2022-08-29,38276.25390625
2022-08-30,39536.2890625
2022-09-01,39300.79296875
2022-09-02,39420.54296875
2022-09-05,39805.2890625
2022-09-06,39666.0390625
2022-09-07,39455.44140625
2022-09-08,40208.48046875
2022-09-09,40415.23046875
2022-09-12,40573.52734375
2022-09-13,40872.625
2022-09-14,41404.91796875
2022-09-15,41208.71875
2022-09-16,40776.328125
2022-09-19,40903.921875
2022-09-20,41467.8203125
2022-09-21,41202.96875
2022-09-22,40630.12890625
2022-09-23,39545.7890625
2022-09-26,38615.80078125
2022-09-27,38358.703125
2022-09-28,37759.4140625
2022-09-29,37647.3125
2022-09-30,38631.5
2022-10-03,38029.20703125
2022-10-04,39109.59765625
2022-10-06,39282.39453125
2022-10-07,39177.59375
2022-10-10,39092.6484375
2022-10-11,38712.0
2022-10-12,39118.09765625
2022-10-13,38623.55078125
2022-10-14,39305.14453125
2022-10-17,39919.984375
2022-10-18,40318.28125
2022-10-19,40372.73046875
2022-10-20,40099.0859375
2022-10-21,40783.578125
2022-10-24,41304.41796875
2022-10-25,41122.2734375
2022-10-27,41298.8203125
2022-10-28,40990.375
2022-10-31,41307.41796875
2022-11-01,41289.0703125
2022-11-02,41146.171875
2022-11-03,41297.87109375
2022-11-04,41257.96875
2022-11-07,41686.21484375
2022-11-09,41782.71484375
2022-11-10,41603.265625
2022-11-11,42136.5625
2022-11-14,42076.26171875
2022-11-15,42372.20703125
2022-11-16,42534.8046875
2022-11-17,42457.55859375
2022-11-18,42436.95703125
2022-11-21,42346.05859375
2022-11-22,42456.55859375
2022-11-23,42728.60546875
2022-11-24,43074.8984375
2022-11-25,42983.44921875
2022-11-28,43019.94921875
2022-11-29,43052.94921875
2022-11-30,43230.49609375
2022-12-01,43260.14453125
2022-12-02,43103.25
2022-12-05,43332.4453125
2022-12-06,43138.05078125
2022-12-07,43098.19921875
2022-12-08,43596.34375
2022-12-09,43632.94140625
2022-12-12,43708.2421875
2022-12-13,43946.0390625
2022-12-14,44048.58984375
2022-12-15,43497.6953125
2022-12-16,43218.99609375
2022-12-19,43413.24609375
2022-12-20,43358.99609375
2022-12-21,42617.453125
2022-12-22,42408.30859375
2022-12-23,41667.56640625
2022-12-26,42629.65234375
2022-12-27,42859.0
2022-12-28,42827.203125
2022-12-29,43251.84765625
2022-12-30,42985.94921875
2023-01-02,43203.1015625
2023-01-03,43425.25
2023-01-04,42958.80078125
2023-01-05,42608.69921875
2023-01-06,42188.80078125
2023-01-09,42582.75
2023-01-10,42014.75
2023-01-11,42232.69921875
2023-01-12,42082.25
2023-01-13,42371.25
2023-01-16,42167.55078125
2023-01-17,42235.05078125
2023-01-18,42458.0
2023-01-19,42328.8515625
2023-01-20,42506.80078125
2023-01-23,42821.25
2023-01-24,42733.44921875
2023-01-25,41647.6484375
