Date,close
2021-07-30,10048.5
2021-08-02,10183.4501953125
2021-08-03,10342.599609375
2021-08-04,10246.7998046875
2021-08-05,10224.900390625
2021-08-06,10249.5
2021-08-09,10239.0
2021-08-10,10158.75
2021-08-11,10140.400390625
2021-08-12,10180.5498046875
2021-08-13,10178.2998046875
2021-08-16,10088.7998046875
2021-08-17,10088.2998046875
2021-08-18,10067.9501953125
2021-08-20,9904.7001953125
2021-08-23,9759.150390625
2021-08-24,9832.7998046875
2021-08-25,9808.650390625
2021-08-26,9763.099609375
2021-08-27,9793.849609375
2021-08-30,9957.900390625
2021-08-31,10034.4501953125
2021-09-01,10043.900390625
2021-09-02,10022.4501953125
2021-09-03,10124.75
2021-09-06,10167.25
2021-09-07,10152.7001953125
2021-09-08,10100.400390625
2021-09-09,10112.599609375
2021-09-13,10120.150390625
2021-09-14,10209.599609375
2021-09-15,10297.0
2021-09-16,10351.4501953125
2021-09-17,10351.4501953125
2021-09-20,10202.650390625
2021-09-21,10155.9501953125
2021-09-22,10284.599609375
2021-09-23,10372.9501953125
2021-09-24,10429.0498046875
2021-09-27,10765.150390625
2021-09-28,10695.9501953125
2021-09-29,10655.5
2021-09-30,10598.4501953125
2021-10-01,10596.9501953125
2021-10-04,10641.150390625
2021-10-05,10692.0
2021-10-06,10567.5498046875
2021-10-07,11031.7998046875
2021-10-08,11079.349609375
2021-10-11,11375.5498046875
2021-10-12,11476.099609375
2021-10-13,11870.0
2021-10-14,11800.2998046875
2021-10-18,11814.7998046875
2021-10-19,11626.849609375
2021-10-20,11493.2998046875
2021-10-21,11557.400390625
2021-10-22,11433.9501953125
2021-10-25,11228.2001953125
2021-10-26,11452.25
2021-10-27,11395.150390625
2021-10-28,11260.900390625
2021-10-29,11297.4501953125
2021-11-01,11421.0
2021-11-02,11521.25
2021-11-03,11401.2001953125
2021-11-04,11569.7998046875
2021-11-08,11645.75
2021-11-09,11766.25
2021-11-10,11829.150390625
2021-11-11,11690.150390625
2021-11-12,11706.5
2021-11-15,11687.650390625
2021-11-16,11977.2998046875
2021-11-17,12061.7998046875
2021-11-18,11747.4501953125
2021-11-22,11379.75
2021-11-23,11455.7001953125
2021-11-24,11308.849609375
2021-11-25,11247.75
2021-11-26,10759.599609375
2021-11-29,10704.150390625
2021-11-30,10603.5498046875
2021-12-01,10758.150390625
2021-12-02,10873.150390625
