,ARIMA_RMSE,RF_RMSE
NIFTY50,0.00832017736207909,0.00843599646875522
NIFTYBANK,0.01041055066649616,0.010390484474303742
NIFTYIT,0.015576397994737309,0.015622687549524604
NIFTYAUTO,0.013278937472729598,0.013277231079496469
