,rmse,mae
NIFTY50,0.00843599646875522,0.006268328939068006
NIFTYBANK,0.010390484474303742,0.007118981649596975
NIFTYIT,0.015622687549524604,0.011359471210784372
NIFTYAUTO,0.013277231079496469,0.00952747155810936
