,rmse,mae
NIFTY50,0.00832017736207909,0.006150566779458929
NIFTYBANK,0.01041055066649616,0.007052115473959848
NIFTYIT,0.015576397994737309,0.011182971879767235
NIFTYAUTO,0.013278937472729598,0.009579719839924186
