Date,close,log_ret
2021-07-13,15812.349609375,0.0076020168050800795
2021-07-14,15853.9501953125,0.00262743737830436
2021-07-15,15924.2001953125,0.0044212840314639245
2021-07-16,15923.400390625,-5.022699813825734e-05
2021-07-19,15752.400390625,-0.010796990571541962
2021-07-20,15632.099609375,-0.007666291987629491
2021-07-22,15824.0498046875,0.012204454864528006
2021-07-23,15856.0498046875,0.0020201963552988087
2021-07-26,15824.4501953125,-0.001994894010794567
2021-07-27,15746.4501953125,-0.004941269190283573
2021-07-28,15709.400390625,-0.0023556712745251398
2021-07-29,15778.4501953125,0.0043858132000563635
2021-07-30,15763.0498046875,-0.000976516135808173
2021-08-02,15885.150390625,0.007716153904229494
2021-08-03,16130.75,0.015342653128218075
2021-08-04,16258.7998046875,0.007906900379200192
2021-08-05,16294.599609375,0.002199451962862978
2021-08-06,16238.2001953125,-0.0034672374282357825
2021-08-09,16258.25,0.0012339690711517842
2021-08-10,16280.099609375,0.0013430068163520583
2021-08-11,16282.25,0.00013207834532344713
2021-08-12,16364.400390625,0.005032710127087298
2021-08-13,16529.099609375,0.010014172717061967
2021-08-16,16563.05078125,0.0020519176533692787
2021-08-17,16614.599609375,0.0031074454639570138
2021-08-18,16568.849609375,-0.002757400455017452
2021-08-20,16450.5,-0.007168531033199722
2021-08-23,16496.44921875,0.002789286998064274
2021-08-24,16624.599609375,0.007738343720985011
2021-08-25,16634.650390625,0.0006043901504665573
2021-08-26,16636.900390625,0.00013525068417903375
2021-08-27,16705.19921875,0.004096857993577663
2021-08-30,16931.05078125,0.013429259014094868
2021-08-31,17132.19921875,0.011810427696351353
2021-09-01,17076.25,-0.0032710789243950112
2021-09-02,17234.150390625,0.009204293951085803
2021-09-03,17323.599609375,0.005176808010644206
2021-09-06,17377.80078125,0.003123863322045117
2021-09-07,17362.099609375,-0.0009039273439216094
2021-09-08,17353.5,-0.0004954320044973781
2021-09-09,17369.25,0.0009071862729865194
2021-09-13,17355.30078125,-0.0008034211637875494
2021-09-14,17380.0,0.0014221395731308123
2021-09-15,17519.44921875,0.007991527890878581
2021-09-16,17629.5,0.006261987530756848
2021-09-17,17585.150390625,-0.002518817158814708
2021-09-20,17396.900390625,-0.01076276621795277
2021-09-21,17562.0,0.009445425055689747
2021-09-22,17546.650390625,-0.0008744061752431491
2021-09-23,17822.94921875,0.01562383807742847
2021-09-24,17853.19921875,0.0016958112674268218
2021-09-27,17855.099609375,0.00010643971788971012
2021-09-28,17748.599609375,-0.005982542262753364
2021-09-29,17711.30078125,-0.002103719495544819
2021-09-30,17618.150390625,-0.005273255224157625
2021-10-01,17532.05078125,-0.004898963801205104
2021-10-04,17691.25,0.009039488024266832
2021-10-05,17822.30078125,0.007380358946066971
2021-10-06,17646.0,-0.009941397212065623
2021-10-07,17790.349609375,0.00814702470131476
2021-10-08,17895.19921875,0.005876323303578524
2021-10-11,17945.94921875,0.0028319423974920437
2021-10-12,17991.94921875,0.002559973015762186
2021-10-13,18161.75,0.00939334195098345
2021-10-14,18338.55078125,0.009687709975996201
2021-10-18,18477.05078125,0.007524019573498294
2021-10-19,18418.75,-0.0031602962146704853
2021-10-20,18266.599609375,-0.008294933244362599
2021-10-21,18178.099609375,-0.004856682911584848
2021-10-22,18114.900390625,-0.0034827257394313984
2021-10-25,18125.400390625,0.0005794654054989729
2021-10-26,18268.400390625,0.00785852166355233
2021-10-27,18210.94921875,-0.0031497940609639214
2021-10-28,17857.25,-0.019613430387588483
2021-10-29,17671.650390625,-0.010447905544470225
2021-11-01,17929.650390625,0.014494106171593095
2021-11-02,17888.94921875,-0.002272628736845954
2021-11-03,17829.19921875,-0.003345641269055336
2021-11-04,17916.80078125,0.0049013449265533065
2021-11-08,18068.55078125,0.008434037348294714
2021-11-09,18044.25,-0.0013458266538282125
2021-11-10,18017.19921875,-0.0015002606334366785
2021-11-11,17873.599609375,-0.00800207185820445
2021-11-12,18102.75,0.012739118453093435
2021-11-15,18109.44921875,0.00036999789965571825
2021-11-16,17999.19921875,-0.006106589273008452
2021-11-17,17898.650390625,-0.005601956226916921
2021-11-18,17764.80078125,-0.007506297537132803
2021-11-22,17416.55078125,-0.01979806684873854
2021-11-23,17503.349609375,0.004971320417088634
2021-11-24,17415.05078125,-0.005057449101021469
2021-11-25,17536.25,0.006935347288237329
2021-11-26,17026.44921875,-0.029502195657113865
