Date,close,log_ret
2021-07-13,10497.7998046875,0.005693520287942708
2021-07-14,10467.900390625,-0.002852223780147616
2021-07-15,10426.0,-0.004010782669623285
2021-07-16,10428.4501953125,0.00023498057257099323
2021-07-19,10310.900390625,-0.01133604092541376
2021-07-20,10222.2001953125,-0.008639781088957986
2021-07-22,10235.7998046875,0.0013295152388537682
2021-07-23,10201.349609375,-0.0033713339609444865
2021-07-26,10137.9501953125,-0.006234198817783226
2021-07-27,10094.349609375,-0.004310004680890898
2021-07-28,10000.400390625,-0.009350691428344781
2021-07-29,9956.650390625,-0.004384422384245036
2021-07-30,10048.5,0.00918266076353611
2021-08-02,10183.4501953125,0.013340503057454612
2021-08-03,10342.599609375,0.01550737768854304
2021-08-04,10246.7998046875,-0.009305807721697677
2021-08-05,10224.900390625,-0.0021394825253467143
2021-08-06,10249.5,0.002402963773557606
2021-08-09,10239.0,-0.0010249653141259855
2021-08-10,10158.75,-0.007868555507402194
2021-08-11,10140.400390625,-0.0018079194468710745
2021-08-12,10180.5498046875,0.003951534344581256
2021-08-13,10178.2998046875,-0.0002210341008781692
2021-08-16,10088.7998046875,-0.00883210558192129
2021-08-17,10088.2998046875,-4.9561137109126416e-05
2021-08-18,10067.9501953125,-0.0020191867325494374
2021-08-20,9904.7001953125,-0.016347718752992766
2021-08-23,9759.150390625,-0.014804065182500614
2021-08-24,9832.7998046875,0.007518369560231622
2021-08-25,9808.650390625,-0.002459026802122529
2021-08-26,9763.099609375,-0.0046547563191617234
2021-08-27,9793.849609375,0.0031446648448484956
2021-08-30,9957.900390625,0.016611647441239136
2021-08-31,10034.4501953125,0.007657946819002731
2021-09-01,10043.900390625,0.0009413319057135766
2021-09-02,10022.4501953125,-0.0021379277104621374
2021-09-03,10124.75,0.010155325095415795
2021-09-06,10167.25,0.004188849018695106
2021-09-07,10152.7001953125,-0.0014320711452778848
2021-09-08,10100.400390625,-0.005164633505554952
2021-09-09,10112.599609375,0.0012070667621035338
2021-09-13,10120.150390625,0.0007463920228882282
2021-09-14,10209.599609375,0.008799891388790422
2021-09-15,10297.0,0.008524174803227893
2021-09-16,10351.4501953125,0.005274034710636452
2021-09-17,10351.4501953125,0.0
2021-09-20,10202.650390625,-0.01447909663002981
2021-09-21,10155.9501953125,-0.004587768891679715
2021-09-22,10284.599609375,0.012587832913842686
2021-09-23,10372.9501953125,0.008553882283407019
2021-09-24,10429.0498046875,0.00539368766257695
2021-09-27,10765.150390625,0.03171893832746949
2021-09-28,10695.9501953125,-0.006448917646431844
2021-09-29,10655.5,-0.003788992629161428
2021-09-30,10598.4501953125,-0.005368408336038951
2021-10-01,10596.9501953125,-0.00014154014313099987
2021-10-04,10641.150390625,0.00416235519258428
2021-10-05,10692.0,0.0047672007880146215
2021-10-06,10567.5498046875,-0.01170783182329298
2021-10-07,11031.7998046875,0.04299402708974478
2021-10-08,11079.349609375,0.004300986538237851
2021-10-11,11375.5498046875,0.026383318065600833
2021-10-12,11476.099609375,0.008800279733632349
2021-10-13,11870.0,0.033747630740981596
2021-10-14,11800.2998046875,-0.005889270295807663
2021-10-18,11814.7998046875,0.0012280280042920692
2021-10-19,11626.849609375,-0.0160359213298917
2021-10-20,11493.2998046875,-0.011552805102607429
2021-10-21,11557.400390625,0.005561718353717621
2021-10-22,11433.9501953125,-0.01073894126011852
2021-10-25,11228.2001953125,-0.018158528644020688
2021-10-26,11452.25,0.019757728898443395
2021-10-27,11395.150390625,-0.004998356686366739
2021-10-28,11260.900390625,-0.011851277401166475
2021-10-29,11297.4501953125,0.003240470665735466
2021-11-01,11421.0,0.010876712244683721
2021-11-02,11521.25,0.008739390257267055
2021-11-03,11401.2001953125,-0.010474526176297884
2021-11-04,11569.7998046875,0.014679607940804059
2021-11-08,11645.75,0.0065430684963006065
2021-11-09,11766.25,0.01029395729274897
2021-11-10,11829.150390625,0.00533159332611901
2021-11-11,11690.150390625,-0.011820216908977426
2021-11-12,11706.5,0.0013976027989758867
2021-11-15,11687.650390625,-0.0016114809163336832
2021-11-16,11977.2998046875,0.02448041317439126
2021-11-17,12061.7998046875,0.007030242347035003
2021-11-18,11747.4501953125,-0.026407205313507275
2021-11-22,11379.75,-0.031800752295672585
2021-11-23,11455.7001953125,0.006651979682611835
2021-11-24,11308.849609375,-0.012901869286458804
2021-11-25,11247.75,-0.005417461839714208
2021-11-26,10759.599609375,-0.04436976563109928
2021-11-29,10704.150390625,-0.005166789783207942
2021-11-30,10603.5498046875,-0.009442720942977507
2021-12-01,10758.150390625,0.014474810885152675
2021-12-02,10873.150390625,0.01063284031105212
2021-12-03,10788.75,-0.007792558934951762
2021-12-06,10589.7998046875,-0.018612669301473588
2021-12-07,10759.0,0.015851358361515435
2021-12-08,11007.7001953125,0.022852432044133213
2021-12-09,11058.75,0.0046269241595534635
2021-12-10,11080.0498046875,0.0019242065014738001
2021-12-13,11047.150390625,-0.0029736648121186414
2021-12-14,10972.150390625,-0.006812231758446668
2021-12-15,11026.0,0.004895840421124678
2021-12-16,10945.75,-0.007304867099974086
2021-12-17,10678.650390625,-0.024704795439574725
2021-12-20,10405.2998046875,-0.02593118467630322
2021-12-21,10483.900390625,0.007525511379397744
2021-12-22,10652.5498046875,0.015958497448930114
2021-12-23,10731.0498046875,0.007342108351484499
