Date,Close,High,Low,Open,Volume
2024-05-07,22114.0,22595.900390625,21996.650390625,22582.349609375,451900
2024-05-08,22458.650390625,22512.55078125,21959.30078125,22102.94921875,491900
2024-05-09,22633.30078125,22994.55078125,22492.599609375,22501.900390625,719100
2024-05-10,22846.900390625,22898.30078125,22672.30078125,22725.349609375,513200
2024-05-13,22462.650390625,22731.0,22127.900390625,22725.0,1088800
2024-05-14,22874.80078125,22894.69921875,22435.69921875,22476.80078125,553500
2024-05-15,22759.849609375,22946.05078125,22681.0,22930.599609375,494600
2024-05-16,22886.849609375,22943.80078125,22448.55078125,22892.099609375,715200
2024-05-17,23285.650390625,23386.94921875,23039.400390625,23045.650390625,552600
2024-05-21,23353.75,23422.05078125,23215.44921875,23322.94921875,603000
2024-05-22,23324.099609375,23400.25,23201.94921875,23380.900390625,517600
2024-05-23,23849.25,23874.75,23252.19921875,23368.55078125,622300
2024-05-24,23891.44921875,24038.599609375,23692.150390625,23774.150390625,958500
2024-05-27,23877.150390625,23996.69921875,23696.349609375,23972.400390625,1285400
2024-05-28,23814.25,23978.44921875,23763.400390625,23894.650390625,529800
2024-05-29,23757.94921875,23805.44921875,23566.05078125,23670.55078125,796600
2024-05-30,23471.0,23767.25,23392.150390625,23690.5,1404900
2024-05-31,23419.599609375,23733.650390625,23314.05078125,23613.400390625,1415100
2024-06-03,23992.69921875,24159.69921875,23874.900390625,24159.69921875,816200
2024-06-04,23193.30078125,24001.099609375,22026.30078125,24000.94921875,1419100
2024-06-05,24283.75,24347.900390625,23120.650390625,23374.150390625,893100
2024-06-06,24396.69921875,24463.30078125,24200.94921875,24367.80078125,742000
2024-06-07,25020.19921875,25043.349609375,24282.400390625,24317.75,710800
2024-06-10,25022.650390625,25260.05078125,24912.599609375,25100.5,846400
2024-06-11,25230.80078125,25342.19921875,25008.19921875,25075.25,574800
2024-06-12,25217.599609375,25407.150390625,25198.05078125,25296.650390625,595000
2024-06-13,25393.19921875,25482.30078125,25162.5,25482.30078125,469900
2024-06-14,25722.099609375,25774.69921875,25347.349609375,25437.80078125,667000
2024-06-18,25715.30078125,25991.44921875,25690.349609375,25844.69921875,903200
2024-06-19,25381.69921875,25824.349609375,25344.400390625,25809.849609375,812700
2024-06-20,25267.849609375,25498.400390625,25201.25,25432.099609375,675300
2024-06-21,25092.30078125,25437.349609375,25016.900390625,25344.80078125,711700
2024-06-24,25309.80078125,25350.849609375,24861.30078125,25033.94921875,567700
2024-06-25,25250.25,25505.75,25205.5,25363.650390625,632300
2024-06-26,25018.900390625,25293.80078125,24999.599609375,25260.5,569200
2024-06-27,25191.400390625,25249.55078125,24841.849609375,25025.650390625,978200
2024-06-28,25200.599609375,25339.150390625,25119.650390625,25160.55078125,633900
2024-07-01,25323.849609375,25417.900390625,25172.400390625,25173.650390625,0
2024-07-02,25130.849609375,25397.30078125,25039.150390625,25397.30078125,0
2024-07-03,25182.80078125,25273.30078125,25123.19921875,25252.0,0
2024-07-04,25366.44921875,25415.25,25242.55078125,25270.75,522200
2024-07-05,25398.30078125,25428.75,25226.44921875,25377.75,478100
2024-07-08,25260.5,25581.94921875,25230.80078125,25480.55078125,452000
2024-07-09,25823.55078125,25845.75,25338.349609375,25389.69921875,483400
2024-07-10,25302.80078125,25906.099609375,25094.099609375,25904.44921875,649000
2024-07-11,25257.25,25431.150390625,25228.900390625,25381.099609375,576400
2024-07-12,25145.44921875,25301.400390625,25102.400390625,25246.400390625,342700
2024-07-15,25419.80078125,25451.099609375,25191.150390625,25235.69921875,414700
2024-07-16,25482.900390625,25587.849609375,25430.94921875,25510.25,298200
2024-07-18,25576.69921875,25605.5,25162.69921875,25457.400390625,844300
2024-07-19,24963.349609375,25573.900390625,24931.25,25573.900390625,421500
2024-07-22,25250.75,25292.900390625,24689.80078125,24889.30078125,523800
2024-07-23,25321.69921875,25458.19921875,24473.80078125,25361.75,527300
